Card Name,count,Avg count in decks,In percentage of decks,Branded Tearlaments,deck count: 3
main,,,,,
Ad Libitum of Despia,3,1.0,66.667%,,
Tearlaments Scheiren,9,3.0,100.000%,,
Tearlaments Merrli,8,2.67,100.000%,,
Tearlaments Havnis,9,3.0,100.000%,,
Tearlaments Reinoheart,5,1.67,100.000%,,
Aluber the Jester of Despia,8,2.67,100.000%,,
Fallen of Albaz,6,2.0,100.000%,,
King of the Swamp,5,1.67,66.667%,,
Despian Tragedy,7,2.33,100.000%,,
Edge Imp Chain,3,1.0,33.333%,,
Albion the Shrouded Dragon,5,1.67,100.000%,,
Terraforming,2,0.667,66.667%,,
Primeval Planet Perlereino,6,2.0,66.667%,,
Frightfur Patchwork,3,1.0,33.333%,,
Polymerization,4,1.33,66.667%,,
Super Polymerization,9,3.0,100.000%,,
Branded Lost,2,0.667,33.333%,,
Branded Fusion,9,3.0,100.000%,,
Branded in Red,5,1.67,100.000%,,
Branded Opening,8,2.67,100.000%,,
Forbidden Droplet,5,1.67,66.667%,,
Infinite Impermanence,3,1.0,33.333%,,
Branded Retribution,2,0.667,66.667%,,
"Nibiru, the Primal Being",1,0.333,33.333%,,
Branded in High Spirits,5,1.67,66.667%,,
Instant Fusion,2,0.667,66.667%,,
Called by the Grave,1,0.333,33.333%,,
Galaxy Cyclone,1,0.333,33.333%,,
Dark Ruler No More,3,1.0,33.333%,,
Tearlaments Sulliek,2,0.667,66.667%,,
Artifact Scythe,1,0.333,33.333%,,
"Incredible Ecclesia, the Virtuous",1,0.333,33.333%,,
Fusion Deployment,2,0.667,33.333%,,
Branded Expulsion,1,0.333,33.333%,,
extra,,,,,
Guardian Chimera,3,1.0,66.667%,,
"Garura, Wings of Resonant Life",3,1.0,100.000%,,
Mudragon of the Swamp,3,1.0,100.000%,,
Predaplant Dragostapelia,4,1.33,100.000%,,
Masquerade the Blazing Dragon,5,1.67,100.000%,,
Mirrorjade the Iceblade Dragon,4,1.33,100.000%,,
Lubellion the Searing Dragon,4,1.33,100.000%,,
Albion the Branded Dragon,5,1.67,100.000%,,
Tearlaments Kaleido-Heart,3,1.0,100.000%,,
Tearlaments Kitkallos,4,1.33,100.000%,,
Despian Quaeritis,2,0.667,66.667%,,
D.3.S. Frog,2,0.667,66.667%,,
El Shaddoll Construct,1,0.333,33.333%,,
Alba-Lenatus the Abyss Dragon,1,0.333,33.333%,,
"Dharc the Dark Charmer, Gloomy",1,0.333,33.333%,,
side,,,,,
Kurikara Divincarnate,3,1.0,33.333%,,
The Winged Dragon of Ra - Sphere Mode,3,1.0,33.333%,,
Necroworld Banshee,2,0.667,66.667%,,
Zombie World,3,1.0,66.667%,,
Cosmic Cyclone,5,1.67,66.667%,,
Galaxy Cyclone,2,0.667,33.333%,,
Branded Banishment,1,0.333,33.333%,,
"Nibiru, the Primal Being",1,0.333,33.333%,,
Lightning Storm,5,1.67,66.667%,,
Evenly Matched,6,2.0,66.667%,,
Dimensional Barrier,3,1.0,33.333%,,
Mischief of the Gnomes,2,0.667,33.333%,,
Gagaga Cowboy,1,0.333,33.333%,,
Droll & Lock Bird,3,1.0,33.333%,,
Ghost Sister & Spooky Dogwood,3,1.0,33.333%,,
There Can Be Only One,2,0.667,33.333%,,
