Card Name,count,Avg count in decks,In percentage of decks,Crooked Runick,deck count: 1
main,,,,,
Amano-Iwato,2,2.0,100.000%,,
Astral Kuriboh,3,3.0,100.000%,,
Dimensional Fissure,1,1.0,100.000%,,
Mystic Mine,3,3.0,100.000%,,
Runick Fountain,3,3.0,100.000%,,
Pot of Desires,2,2.0,100.000%,,
Terraforming,1,1.0,100.000%,,
Runick Destruction,3,3.0,100.000%,,
Runick Dispelling,1,1.0,100.000%,,
Runick Flashing Fire,3,3.0,100.000%,,
Runick Freezing Curses,3,3.0,100.000%,,
Runick Golden Droplet,1,1.0,100.000%,,
Runick Slumber,3,3.0,100.000%,,
Runick Smiting Storm,1,1.0,100.000%,,
Runick Tip,3,3.0,100.000%,,
Rivalry of Warlords,3,3.0,100.000%,,
There Can Be Only One,3,3.0,100.000%,,
Metaverse,1,1.0,100.000%,,
extra,,,,,
Freki the Runick Fangs,1,1.0,100.000%,,
Geri the Runick Fangs,3,3.0,100.000%,,
Munin the Runick Wings,2,2.0,100.000%,,
Hugin the Runick Wings,3,3.0,100.000%,,
Number 59: Crooked Cook,1,1.0,100.000%,,
Number 41: Bagooska the Terribly Tired Tapir,1,1.0,100.000%,,
Evilswarm Exciton Knight,1,1.0,100.000%,,
Abyss Dweller,1,1.0,100.000%,,
Gagaga Cowboy,1,1.0,100.000%,,
Number 60: Dugares the Timeless,1,1.0,100.000%,,
side,,,,,
Lava Golem,3,3.0,100.000%,,
Majesty's Fiend,3,3.0,100.000%,,
Cosmic Cyclone,3,3.0,100.000%,,
Cursed Seal of the Forbidden Spell,3,3.0,100.000%,,
Evenly Matched,3,3.0,100.000%,,
