Card Name,count,Avg count in decks,In percentage of decks,D/D/D,deck count: 1
main
Ash Blossom & Joyous Spring,3,3.0,100.000%
D/D Ark,1,1.0,100.000%
D/D Cerberus,3,3.0,100.000%
D/D Swirl Slime,3,3.0,100.000%
D/D Necro Slime,2,2.0,100.000%
D/D Proud Ogre,1,1.0,100.000%
D/D Savant Copernicus,3,3.0,100.000%
D/D Savant Kepler,3,3.0,100.000%
D/D Savant Newton,1,1.0,100.000%
D/D Vice Typhon,1,1.0,100.000%
D/D/D Oblivion King Abyss Ragnarok,3,3.0,100.000%
Ghost Ogre & Snow Rabbit,3,3.0,100.000%
"Radian, the Multidimensional Kaiju",1,1.0,100.000%
Dinowrestler Pankratops,1,1.0,100.000%
Called by the Grave,1,1.0,100.000%
Dark Contract with the Gate,3,3.0,100.000%
Dark Contract with the Swamp King,2,2.0,100.000%
Monster Reborn,1,1.0,100.000%
One for One,1,1.0,100.000%
Pot of Desires,2,2.0,100.000%
Dark Contract with the Witch,1,1.0,100.000%
extra
D/D/D Oracle King d'Arc,3,3.0,0.000%
D/D/D Flame High King Genghis,3,3.0,0.000%
D/D/D Super Doom King Purple Armageddon,1,1.0,0.000%
Odd-Eyes Vortex Dragon,1,1.0,0.000%
Odd-Eyes Absolute Dragon,1,1.0,0.000%
D/D/D Duo-Dawn King Kali Yuga,1,1.0,0.000%
D/D/D Wave King Caesar,2,2.0,0.000%
Evilswarm Nightmare,1,1.0,0.000%
Tornado Dragon,1,1.0,0.000%
Codebreaker Virus Swordsman,1,1.0,0.000%
side
Artifact Lancea,3,3.0,0.000%
"Radian, the Multidimensional Kaiju",2,2.0,100.000%
Cosmic Cyclone,3,3.0,0.000%
Dark Hole,1,1.0,0.000%
Dimensional Barrier,3,3.0,0.000%
Royal Decree,3,3.0,0.000%
