Card Name,count,Avg count in decks,In percentage of decks,Exosister,deck count: 6
main,,,,,
Dimension Shifter,18,3.0,100.000%,,
Exosister Martha,18,3.0,100.000%,,
Exosister Elis,18,3.0,100.000%,,
Exosister Irene,6,1.0,100.000%,,
Exosister Stella,18,3.0,100.000%,,
Exosister Sophia,13,2.17,100.000%,,
Ash Blossom & Joyous Spring,15,2.5,83.333%,,
"Zoroa, the Magistus of Flame",8,1.33,50.000%,,
Dimensional Fissure,5,0.833,50.000%,,
Dark Ruler No More,15,2.5,100.000%,,
Exosister Pax,18,3.0,100.000%,,
Pot of Prosperity,18,3.0,100.000%,,
Exosister Carpedivem,4,0.667,66.667%,,
Exosister Returnia,12,2.0,100.000%,,
Exosister Vadis,12,2.0,100.000%,,
Evenly Matched,10,1.67,66.667%,,
Infinite Impermanence,18,3.0,100.000%,,
Effect Veiler,3,0.5,16.667%,,
Called by the Grave,4,0.667,66.667%,,
Gozen Match,2,0.333,16.667%,,
Set Rotation,1,0.167,16.667%,,
Terraforming,1,0.167,16.667%,,
Mystic Mine,1,0.167,16.667%,,
Necrovalley,2,0.333,16.667%,,
extra,,,,,
Exosisters Magnifica,12,2.0,100.000%,,
Exosister Mikailis,17,2.83,100.000%,,
Exosister Kaspitell,12,2.0,100.000%,,
Exosister Asophiel,8,1.33,100.000%,,
Exosister Gibrine,8,1.33,100.000%,,
Divine Arsenal AA-ZEUS - Sky Thunder,6,1.0,100.000%,,
"Artemis, the Magistus Moon Maiden",4,0.667,50.000%,,
"Ninaruru, the Magistus Glass Goddess",2,0.333,33.333%,,
Draco Berserker of the Tenyi,1,0.167,16.667%,,
"Aiwass, the Magistus Spell Spirit",1,0.167,16.667%,,
"Zoroa, the Magistus Conflagrant Calamity",1,0.167,16.667%,,
Day-Breaker the Shining Magical Warrior,2,0.333,33.333%,,
Number F0: Utopic Draco Future,2,0.333,33.333%,,
Number F0: Utopic Future,2,0.333,33.333%,,
Number 41: Bagooska the Terribly Tired Tapir,1,0.167,16.667%,,
"Lyna the Light Charmer, Lustrous",2,0.333,33.333%,,
Gagagaga Magician,1,0.167,16.667%,,
Tearlaments Kitkallos,2,0.333,33.333%,,
Spright Elf,1,0.167,16.667%,,
Gagaga Cowboy,2,0.333,33.333%,,
Drill Driver Vespenato,1,0.167,16.667%,,
Evilswarm Exciton Knight,1,0.167,16.667%,,
Gigantic Spright,1,0.167,16.667%,,
side,,,,,
Ghost Sister & Spooky Dogwood,2,0.333,16.667%,,
Lightning Storm,3,0.5,16.667%,,
Dark Ruler No More,3,0.5,50.000%,,
Evenly Matched,8,1.33,66.667%,,
Dimensional Barrier,5,0.833,33.333%,,
Solemn Judgment,14,2.33,83.333%,,
Different Dimension Ground,2,0.333,16.667%,,
Exosister Carpedivem,1,0.167,16.667%,,
Necrovalley,5,0.833,50.000%,,
Zombie World,5,0.833,50.000%,,
Harpie's Feather Duster,4,0.667,66.667%,,
Terraforming,3,0.5,50.000%,,
Triple Tactics Talent,2,0.333,16.667%,,
Set Rotation,2,0.333,33.333%,,
Twin Twisters,3,0.5,33.333%,,
Ghost Reaper & Winter Cherries,6,1.0,33.333%,,
Secret Village of the Spellcasters,2,0.333,33.333%,,
Gozen Match,3,0.5,16.667%,,
PSY-Frame Driver,2,0.333,33.333%,,
PSY-Framegear Gamma,6,1.0,33.333%,,
Cosmic Cyclone,6,1.0,33.333%,,
Dimensional Fissure,1,0.167,16.667%,,
Macro Cosmos,1,0.167,16.667%,,
Metaverse,1,0.167,16.667%,,
