Card Name,count,Avg count in decks,In percentage of decks,Ishizu Bystial Dragon Link,deck count: 1
main
Starliege Seyfert,3,3.0,100.000%
Black Dragon Collapserpent,1,1.0,100.000%
White Dragon Wyverburster,1,1.0,100.000%
Black Metal Dragon,3,3.0,100.000%
Red-Eyes Darkness Metal Dragon,1,1.0,100.000%
Rokket Tracer,2,2.0,100.000%
Rokket Recharger,1,1.0,100.000%
Silverrokket Dragon,1,1.0,100.000%
Chaos Dragon Levianeer,1,1.0,100.000%
Absorouter Dragon,1,1.0,100.000%
"Chaos Emperor, the Dragon of Armageddon",1,1.0,100.000%
The Bystial Lubellion,2,2.0,100.000%
Bystial Druiswurm,3,3.0,100.000%
Bystial Magnamhut,3,3.0,100.000%
Bystial Saronir,2,2.0,100.000%
Chamber Dragonmaid,2,2.0,100.000%
Ash Blossom & Joyous Spring,3,3.0,100.000%
Effect Veiler,3,3.0,100.000%
D.D. Crow,3,3.0,100.000%
Keldo the Sacred Protector,2,2.0,100.000%
Mudora the Sword Oracle,2,2.0,100.000%
Triple Tactics Talent,3,3.0,100.000%
Twin Twisters,1,1.0,100.000%
Called by the Grave,1,1.0,100.000%
One for One,1,1.0,100.000%
Boot Sector Launch,1,1.0,100.000%
Dragon Ravine,1,1.0,100.000%
Chaos Space,3,3.0,100.000%
Forbidden Droplet,2,2.0,100.000%
Quick Launch,3,3.0,100.000%
Branded Regained,1,1.0,100.000%
Branded Beast,1,1.0,100.000%
Dragonmaid Tidying,1,1.0,100.000%
extra
Baronne de Fleur,1,1.0,0.000%
Borreload Savage Dragon,1,1.0,0.000%
Hieratic Dragon King of Atum,1,1.0,0.000%
"Wollow, Founder of the Drudge Dragons",1,1.0,0.000%
Borrelend Dragon,1,1.0,0.000%
Underworld Goddess of the Closed World,1,1.0,0.000%
Triple Burst Dragon,1,1.0,0.000%
Accesscode Talker,1,1.0,0.000%
Knightmare Unicorn,1,1.0,0.000%
"Dharc the Dark Charmer, Gloomy",1,1.0,0.000%
Dragunity Knight - Romulus,1,1.0,0.000%
Guardragon Pisty,1,1.0,0.000%
Striker Dragon,1,1.0,0.000%
I:P Masquerena,1,1.0,0.000%
Hieratic Seal of the Heavenly Spheres,1,1.0,0.000%
side
Droll & Lock Bird,3,3.0,0.000%
Dark Ruler No More,3,3.0,0.000%
Twin Twisters,1,1.0,100.000%
Harpie's Feather Duster,1,1.0,0.000%
Lightning Storm,2,2.0,0.000%
Eradicator Epidemic Virus,3,3.0,0.000%
Evenly Matched,2,2.0,0.000%
