Card Name,count,Avg count in decks,In percentage of decks,Mathmech,deck count: 4
main
Ash Blossom & Joyous Spring,6,1.5,75.000%
Effect Veiler,8,2.0,75.000%
D.D. Crow,5,1.25,50.000%
Ghost Belle & Haunted Mansion,7,1.75,25.000%
"Nibiru, the Primal Being",5,1.25,75.000%
Mathmech Circular,12,3.0,100.000%
Mathmech Diameter,11,2.75,100.000%
Mathmech Subtraction,9,2.25,100.000%
Mathmech Addition,9,2.25,100.000%
Mathmech Sigma,8,2.0,100.000%
Mathmech Multiplication,2,0.5,50.000%
Mathmech Nabla,2,0.5,50.000%
Parallel eXceed,12,3.0,100.000%
Cynet Mining,12,3.0,100.000%
Mathmech Equation,4,1.0,100.000%
Small World,10,2.5,100.000%
Cosmic Cyclone,7,1.75,100.000%
Called by the Grave,3,0.75,75.000%
Harpie's Feather Duster,1,0.25,25.000%
Mathmech Superfactorial,4,1.0,100.000%
Infinite Impermanence,12,3.0,100.000%
Ghost Mourner & Moonlit Chill,1,0.25,25.000%
Droll & Lock Bird,6,1.5,50.000%
Salamangreat Mole,1,0.25,25.000%
Pot of Desires,2,0.5,25.000%
Meowseclick,1,0.25,25.000%
extra
Geomathmech Final Sigma,2,0.5,25.000%
Primathmech Alembertian,8,2.0,75.000%
Primathmech Laplacian,6,1.5,75.000%
Mekk-Knight Crusadia Avramax,2,0.5,25.000%
Accesscode Talker,5,1.25,75.000%
Decode Talker Heatsoul,3,0.75,50.000%
Transcode Talker,4,1.0,75.000%
Splash Mage,6,1.5,75.000%
Linguriboh,5,1.25,75.000%
Salamangreat Almiraj,3,0.75,50.000%
Cyberse Wicckid,4,1.0,75.000%
Update Jammer,4,1.0,75.000%
I:P Masquerena,3,0.75,50.000%
Link Spider,2,0.5,50.000%
Link Disciple,1,0.25,25.000%
Link Devotee,1,0.25,25.000%
Knightmare Unicorn,1,0.25,25.000%
side
"Nibiru, the Primal Being",4,1.0,50.000%
Skull Meister,2,0.5,25.000%
PSY-Framegear Gamma,9,2.25,50.000%
PSY-Frame Driver,3,0.75,50.000%
Dark Ruler No More,3,0.75,0.000%
Lightning Storm,2,0.5,0.000%
Rivalry of Warlords,8,2.0,50.000%
Droll & Lock Bird,3,0.75,25.000%
Harpie's Feather Duster,2,0.5,25.000%
Cosmic Cyclone,3,0.75,75.000%
Evenly Matched,8,2.0,75.000%
Different Dimension Ground,5,1.25,50.000%
Dimensional Barrier,3,0.75,25.000%
Appointer of the Red Lotus,1,0.25,25.000%
Fire Cracker,1,0.25,25.000%
"Retaliating ""C""",3,0.75,25.000%
