Card Name,count,Avg count in decks,In percentage of decks,Metalfoes F.A.,deck count: 1
main,,,,,
Ash Blossom & Joyous Spring,3,3.0,100.000%,,
Effect Veiler,3,3.0,100.000%,,
F.A. Hang On Mach,3,3.0,100.000%,,
F.A. Whip Crosser,3,3.0,100.000%,,
F.A. Auto Navigator,3,3.0,100.000%,,
Metalfoes Vanisher,2,2.0,100.000%,,
Parametalfoes Melcaster,3,3.0,100.000%,,
Raremetalfoes Bismugear,3,3.0,100.000%,,
Pot of Extravagance,3,3.0,100.000%,,
Terraforming,1,1.0,100.000%,,
One for One,1,1.0,100.000%,,
F.A. Circuit Grand Prix,2,2.0,100.000%,,
F.A. City Grand Prix,3,3.0,100.000%,,
F.A. Off-Road Grand Prix,2,2.0,100.000%,,
F.A. Test Run,3,3.0,100.000%,,
Metalfoes Counter,2,2.0,100.000%,,
extra,,,,,
F.A. Shining Star GT,3,3.0,100.000%,,
Linkuriboh,3,3.0,100.000%,,
F.A. Motorhome Transport,3,3.0,100.000%,,
Ravenous Crocodragon Archethys,3,3.0,100.000%,,
Maple Maiden,3,3.0,100.000%,,
side,,,,,
Droll & Lock Bird,3,3.0,100.000%,,
"Radian, the Multidimensional Kaiju",3,3.0,100.000%,,
Dinowrestler Pankratops,1,1.0,100.000%,,
Change of Heart,1,1.0,100.000%,,
Mind Control,1,1.0,100.000%,,
Twin Twisters,3,3.0,100.000%,,
Unending Nightmare,3,3.0,100.000%,,
