Card Name,count,Avg count in decks,In percentage of decks,Myutant,deck count: 1
main
PSY-Frame Driver,1,1.0,100.000%
Myutant Arsenal,1,1.0,100.000%
Myutant Mist,1,1.0,100.000%
Myutant Beast,1,1.0,100.000%
Dimension Shifter,3,3.0,100.000%
Myutant ST-46,3,3.0,100.000%
PSY-Framegear Gamma,3,3.0,100.000%
Myutant M-05,3,3.0,100.000%
Nemeses Keystone,1,1.0,100.000%
Myutant Mutant,3,3.0,100.000%
Dimensional Fissure,3,3.0,100.000%
Myutant Evolution Lab,1,1.0,100.000%
Myutant Fusion,1,1.0,100.000%
Pot of Extravagance,3,3.0,100.000%
Emergency Teleport,3,3.0,100.000%
Myutant Expansion,3,3.0,100.000%
Infinite Impermanence,3,3.0,100.000%
Myutant Cry,3,3.0,100.000%
extra
Myutant Ultimus,2,2.0,0.000%
Myutant Synthesis,3,3.0,0.000%
PSY-Framelord Omega,1,1.0,0.000%
Divine Arsenal AA-ZEUS - Sky Thunder,1,1.0,0.000%
Number 38: Hope Harbinger Dragon Titanic Galaxy,1,1.0,0.000%
Mekk-Knight Crusadia Avramax,1,1.0,0.000%
Accesscode Talker,1,1.0,0.000%
Knightmare Unicorn,1,1.0,0.000%
Knightmare Phoenix,1,1.0,0.000%
PSY-Framelord Lambda,1,1.0,0.000%
Knightmare Cerberus,1,1.0,0.000%
I:P Masquerena,1,1.0,0.000%
side
Ghost Sister & Spooky Dogwood,3,3.0,0.000%
Change of Heart,1,1.0,0.000%
Lightning Storm,3,3.0,0.000%
Triple Tactics Talent,2,2.0,0.000%
Macro Cosmos,3,3.0,0.000%
Evenly Matched,3,3.0,0.000%
