Card Name,count,Avg count in decks,In percentage of decks,Salvation Scareclaw Tearlaments,deck count: 1
main,,,,,
Tearlaments Scheiren,3,3.0,100.000%,,
Tearlaments Reinoheart,3,3.0,100.000%,,
Tearlaments Havnis,3,3.0,100.000%,,
Tearlaments Merrli,3,3.0,100.000%,,
Visas Starfrost,3,3.0,100.000%,,
Scareclaw Reichheart,1,1.0,100.000%,,
Crystal Beast Emerald Tortoise,1,1.0,100.000%,,
Super Polymerization,3,3.0,100.000%,,
Instant Fusion,1,1.0,100.000%,,
Terraforming,1,1.0,100.000%,,
Primitive Planet Reichphobia,2,2.0,100.000%,,
Scareclaw Arrival,2,2.0,100.000%,,
Tearlaments Grief,3,3.0,100.000%,,
Primeval Planet Perlereino,3,3.0,100.000%,,
Tearlaments Scream,3,3.0,100.000%,,
Foolish Burial Goods,3,3.0,100.000%,,
Tearlaments Sulliek,2,2.0,100.000%,,
Tearlaments Cryme,1,1.0,100.000%,,
Rainbow Bridge of Salvation,1,1.0,100.000%,,
extra,,,,,
Tearlaments Kaleido-Heart,1,1.0,100.000%,,
Predaplant Dragostapelia,1,1.0,100.000%,,
"Garura, Wings of Resonant Life",1,1.0,100.000%,,
Tearlaments Kitkallos,2,2.0,100.000%,,
Tearlaments Rulkallos,1,1.0,100.000%,,
Mudragon of the Swamp,1,1.0,100.000%,,
Abyss Dweller,1,1.0,100.000%,,
Baronne de Fleur,1,1.0,100.000%,,
"Dharc the Dark Charmer, Gloomy",1,1.0,100.000%,,
Spright Elf,1,1.0,100.000%,,
Spright Sprind,1,1.0,100.000%,,
Scareclaw Light-Heart,1,1.0,100.000%,,
"Curious, the Lightsworn Dominion",1,1.0,100.000%,,
Knightmare Gryphon,1,1.0,100.000%,,
side,,,,,
Kurikara Divincarnate,3,3.0,100.000%,,
PSY-Framegear Gamma,3,3.0,100.000%,,
PSY-Frame Driver,1,1.0,100.000%,,
Skull-Mark Ladybug,1,1.0,100.000%,,
Eradicator Epidemic Virus,1,1.0,100.000%,,
Infinite Impermanence,3,3.0,100.000%,,
Cosmic Cyclone,3,3.0,100.000%,,
