Card Name,count,Avg count in decks,In percentage of decks,Salvation Tearlaments,deck count: 3
main, , , , , 
Albion the Shrouded Dragon,3,1.0,100.000%,,
Tearlaments Scheiren,9,3.0,100.000%,,
Tearlaments Reinoheart,9,3.0,100.000%,,
"Blazing Cartesia, the Virtuous",2,0.667,66.667%,,
Tearlaments Havnis,9,3.0,100.000%,,
Crystal Beast Emerald Tortoise,3,1.0,100.000%,,
Tearlaments Merrli,9,3.0,100.000%,,
Tearlaments Scream,6,2.0,66.667%,,
Mystic Mine,2,0.667,66.667%,,
Primeval Planet Perlereino,9,3.0,100.000%,,
Foolish Burial Goods,7,2.33,100.000%,,
Instant Fusion,3,1.0,100.000%,,
Terraforming,3,1.0,100.000%,,
Branded in High Spirits,9,3.0,100.000%,,
Called by the Grave,3,1.0,100.000%,,
Forbidden Droplet,6,2.0,66.667%,,
Super Polymerization,9,3.0,100.000%,,
Tearlaments Sulliek,6,2.0,100.000%,,
Tearlaments Cryme,2,0.667,66.667%,,
High Rate Draw,2,0.667,66.667%,,
Rainbow Bridge of Salvation,3,1.0,100.000%,,
Shaddoll Beast,1,0.333,33.333%,,
King of the Swamp,3,1.0,33.333%,,
Triple Tactics Talent,2,0.667,33.333%,,
Foolish Burial,1,0.333,33.333%,,
Polymerization,1,0.333,33.333%,,
extra, , , , , 
Tearlaments Kaleido-Heart,3,1.0,66.667%,,
Tearlaments Rulkallos,4,1.33,33.333%,,
Predaplant Dragostapelia,4,1.33,66.667%,,
"Garura, Wings of Resonant Life",3,1.0,66.667%,,
Tearlaments Kitkallos,6,2.0,66.667%,,
Mudragon of the Swamp,3,1.0,66.667%,,
Divine Arsenal AA-ZEUS - Sky Thunder,3,1.0,66.667%,,
Time Thief Redoer,3,1.0,66.667%,,
Abyss Dweller,3,1.0,66.667%,,
Gigantic Spright,2,0.667,33.333%,,
"Dharc the Dark Charmer, Gloomy",3,1.0,66.667%,,
Spright Elf,2,0.667,33.333%,,
Spright Sprind,2,0.667,33.333%,,
Guardian Chimera,1,0.333,33.333%,,
El Shaddoll Winda,1,0.333,33.333%,,
D.3.S. Frog,1,0.333,33.333%,,
Masked HERO Dark Law,1,0.333,33.333%,,
side, , , , , 
Ghost Reaper & Winter Cherries,6,2.0,33.333%,,
Ghost Sister & Spooky Dogwood,6,2.0,33.333%,,
Red Resonator,2,0.667,33.333%,,
D.D. Crow,4,1.33,33.333%,,
Skill Drain,6,2.0,33.333%,,
Evenly Matched,9,3.0,66.667%,,
Mask Change II,3,1.0,33.333%,,
Forbidden Droplet,2,0.667,66.667%,,
Cosmic Cyclone,2,0.667,33.333%,,
Harpie's Feather Duster,1,0.333,33.333%,,
Tearlaments Cryme,1,0.333,66.667%,,
Deck Devastation Virus,3,1.0,33.333%,,
