Card Name,count,Avg count in decks,In percentage of decks,Spright Ishizu Tearlaments,deck count: 5
main,,,,,
Tearlaments Reinoheart,7,1.4,100.000%,,
Tearlaments Scheiren,15,3.0,100.000%,,
Tearlaments Havnis,15,3.0,100.000%,,
Tearlaments Merrli,15,3.0,100.000%,,
Spright Jet,5,1.0,100.000%,,
Spright Blue,7,1.4,100.000%,,
Spright Red,4,0.8,80.000%,,
Spright Carrot,2,0.4,40.000%,,
Nimble Beaver,14,2.8,100.000%,,
Nimble Angler,14,2.8,100.000%,,
Kelbek the Ancient Vanguard,9,1.8,100.000%,,
Keldo the Sacred Protector,14,2.8,100.000%,,
Mudora the Sword Oracle,12,2.4,100.000%,,
Agido the Ancient Sentinel,4,0.8,40.000%,,
Terraforming,5,1.0,100.000%,,
Instant Fusion,5,1.0,100.000%,,
Primeval Planet Perlereino,15,3.0,100.000%,,
Super Polymerization,9,1.8,60.000%,,
Tearlaments Scream,5,1.0,80.000%,,
Spright Starter,3,0.6,60.000%,,
Spright Smashers,5,1.0,100.000%,,
Tearlaments Sulliek,7,1.4,100.000%,,
Bystial Magnamhut,5,1.0,40.000%,,
Bystial Druiswurm,8,1.6,80.000%,,
Forbidden Droplet,6,1.2,40.000%,,
Bystial Saronir,1,0.2,20.000%,,
Tearlaments Cryme,2,0.4,40.000%,,
Diviner of the Herald,1,0.2,20.000%,,
Chaos Hunter,1,0.2,20.000%,,
Mystic Mine,2,0.4,20.000%,,
Foolish Burial,2,0.4,40.000%,,
extra,,,,,
Predaplant Dragostapelia,5,1.0,100.000%,,
"Garura, Wings of Resonant Life",5,1.0,100.000%,,
Mudragon of the Swamp,5,1.0,100.000%,,
Tearlaments Kaleido-Heart,5,1.0,100.000%,,
Tearlaments Kitkallos,5,1.0,100.000%,,
Tearlaments Rulkallos,5,1.0,100.000%,,
Divine Arsenal AA-ZEUS - Sky Thunder,2,0.4,40.000%,,
Abyss Dweller,5,1.0,100.000%,,
Number 41: Bagooska the Terribly Tired Tapir,4,0.8,80.000%,,
Gigantic Spright,5,1.0,100.000%,,
"Dharc the Dark Charmer, Gloomy",5,1.0,100.000%,,
Spright Elf,5,1.0,100.000%,,
Spright Sprind,8,1.6,100.000%,,
I:P Masquerena,5,1.0,100.000%,,
Mekk-Knight Crusadia Avramax,2,0.4,40.000%,,
Underworld Goddess of the Closed World,2,0.4,40.000%,,
Elder Entity N'tss,1,0.2,20.000%,,
Number 29: Mannequin Cat,1,0.2,20.000%,,
side,,,,,
PSY-Framegear Gamma,6,1.2,40.000%,,
PSY-Frame Driver,2,0.4,40.000%,,
Necroworld Banshee,2,0.4,20.000%,,
Red Resonator,5,1.0,100.000%,,
Zombie World,2,0.4,20.000%,,
Lightning Storm,3,0.6,20.000%,,
Triple Tactics Talent,5,1.0,40.000%,,
Tearlaments Cryme,1,0.2,20.000%,,
Ghost Sister & Spooky Dogwood,3,0.6,20.000%,,
Raigeki,3,0.6,20.000%,,
Twin Twisters,6,1.2,40.000%,,
Tearlaments Heartbeat,2,0.4,40.000%,,
Called by the Grave,1,0.2,20.000%,,
Artifact Lancea,3,0.6,20.000%,,
Darklord Nurse Reficule,1,0.2,20.000%,,
Ghost Reaper & Winter Cherries,3,0.6,20.000%,,
Dark Ruler No More,3,0.6,20.000%,,
Harpie's Feather Duster,1,0.2,20.000%,,
Bystial Magnamhut,3,0.6,20.000%,,
Cosmic Cyclone,3,0.6,20.000%,,
There Can Be Only One,3,0.6,20.000%,,
