Card Name,count,Avg count in decks,In percentage of decks,Sunavalon Rikka,deck count: 1
main, , , , , 
Sunseed Genius Loci,2,2.0,100.000%,,
Sunseed Twin,1,1.0,100.000%,,
Snowdrop the Rikka Fairy,1,1.0,100.000%,,
Mudan the Rikka Fairy,2,2.0,100.000%,,
Primula the Rikka Fairy,2,2.0,100.000%,,
Rikka Princess,3,3.0,100.000%,,
Lonefire Blossom,2,2.0,100.000%,,
Rikka Petal,3,3.0,100.000%,,
Ash Blossom & Joyous Spring,3,3.0,100.000%,,
PSY-Framegear Gamma,3,3.0,100.000%,,
PSY-Frame Driver,1,1.0,100.000%,,
Rikka Konkon,3,3.0,100.000%,,
Rikka Glamour,3,3.0,100.000%,,
Sunvine Sowing,1,1.0,100.000%,,
Terraforming,1,1.0,100.000%,,
Called by the Grave,1,1.0,100.000%,,
One for One,1,1.0,100.000%,,
Unexpected Dai,3,3.0,100.000%,,
Infinite Impermanence,3,3.0,100.000%,,
Rikka Sheet,1,1.0,100.000%,,
extra, , , , , 
PSY-Framelord Omega,1,1.0,0.000%,,
"Alsei, the Sylvan High Protector",1,1.0,0.000%,,
"Sacred Tree Beast, Hyperyton",1,1.0,0.000%,,
Teardrop the Rikka Queen,1,1.0,0.000%,,
Rikka Queen Strenna,2,2.0,0.000%,,
Benghalancer the Resurgent,1,1.0,0.000%,,
Sylvan Dancepione,1,1.0,0.000%,,
Aromaseraphy Jasmine,1,1.0,0.000%,,
Sunvine Healer,2,2.0,0.000%,,
Sunavalon Dryas,3,3.0,0.000%,,
Sunavalon Melias,1,1.0,0.000%,,
side, , , , , 
D.D. Crow,3,3.0,0.000%,,
Harpie's Feather Duster,1,1.0,0.000%,,
Cosmic Cyclone,2,2.0,0.000%,,
Lightning Storm,3,3.0,0.000%,,
Evenly Matched,3,3.0,0.000%,,
Dimensional Barrier,3,3.0,0.000%,,
