Card Name,count,Avg count in decks,In percentage of decks,Tenyi,deck count: 1
main
"Dogoran, the Mad Flame Kaiju",2,2.0,100.000%,,
Lava Golem,2,2.0,100.000%,,
"Radian, the Multidimensional Kaiju",3,3.0,100.000%,,
"Prufinesse, the Tactical Trapper",3,3.0,100.000%,,
Dinowrestler Pankratops,1,1.0,100.000%,,
Tenyi Spirit - Adhara,3,3.0,100.000%,,
Tenyi Spirit - Vishuda,3,3.0,100.000%,,
Tenyi Spirit - Nahata,1,1.0,100.000%,,
Tenyi Spirit - Shthana,3,3.0,100.000%,,
Mare Mare,1,1.0,100.000%,,
Tenyi Spirit - Mapura,2,2.0,100.000%,,
Tenyi Spirit - Ashuna,3,3.0,100.000%,,
Vessel for the Dragon Cycle,3,3.0,100.000%,,
Heavenly Dragon Circle,3,3.0,100.000%,,
Pot of Desires,2,2.0,100.000%,,
Jewels of the Valiant,3,3.0,100.000%,,
Cosmic Cyclone,3,3.0,100.000%,,
Swordsoul Blackout,3,3.0,100.000%,,
extra
Monk of the Tenyi,3,3.0,0.000%,,
LANphorhynchus,2,2.0,0.000%,,
Shaman of the Tenyi,3,3.0,0.000%,,
Berserker of the Tenyi,2,2.0,0.000%,,
Tenyi Spirit - Sahasrara,1,1.0,0.000%,,
Stardust Dragon,1,1.0,0.000%,,
Ravenous Crocodragon Archethys,2,2.0,0.000%,,
Tornado Dragon,1,1.0,0.000%,,
side
Lava Golem,1,1.0,100.000%,,
Vanity's Fiend,3,3.0,0.000%,,
Twin Twisters,3,3.0,0.000%,,
Dimensional Barrier,1,1.0,0.000%,,
Fists of the Unrivaled Tenyi,1,1.0,0.000%,,
Royal Decree,3,3.0,0.000%,,
Skill Drain,3,3.0,0.000%,,
