Card Name,count,Avg count in decks,In percentage of decks,Umi,deck count: 1
main
Ocean Dragon Lord - Kairyu-Shin,3,3.0,100.000%,,
Electric Jellyfish,3,3.0,100.000%,,
"Gameciel, the Sea Turtle Kaiju",1,1.0,100.000%,,
Maiden of the Aqua,1,1.0,100.000%,,
Mega Fortress Whale,1,1.0,100.000%,,
Doom Kraken,1,1.0,100.000%,,
Giga Gagagigo,1,1.0,100.000%,,
Pot of Extravagance,3,3.0,100.000%,,
Harpie's Feather Duster,1,1.0,100.000%,,
Dark Ruler No More,3,3.0,100.000%,,
Dimensional Fissure,2,2.0,100.000%,,
Called by the Grave,1,1.0,100.000%,,
Terraforming,1,1.0,100.000%,,
Fish Sonar,3,3.0,100.000%,,
A Legendary Ocean,3,3.0,100.000%,,
Sea Stealth II,2,2.0,100.000%,,
Foolish Burial Goods,2,2.0,100.000%,,
Ice Barrier,2,2.0,100.000%,,
Kairyu-Shin's Dark Reef,2,2.0,100.000%,,
Sea Stealth Attack,3,3.0,100.000%,,
Metaverse,1,1.0,100.000%,,
extra
Adamancipator Risen - Dragite,1,1.0,0.000%,,
White Aura Monoceros,1,1.0,0.000%,,
White Aura Dolphin,1,1.0,0.000%,,
Toadally Awesome,1,1.0,0.000%,,
Number 4: Stealth Kragen,1,1.0,0.000%,,
Abyss Dweller,1,1.0,0.000%,,
Bahamut Shark,1,1.0,0.000%,,
Evigishki Merrowgeist,1,1.0,0.000%,,
Number 101: Silent Honor ARK,1,1.0,0.000%,,
Gagaga Cowboy,1,1.0,0.000%,,
Worldsea Dragon Zealantis,1,1.0,0.000%,,
"Eria the Water Charmer, Gentle",1,1.0,0.000%,,
Abyss Keeper,2,2.0,0.000%,,
Sky Striker Ace - Shizuku,1,1.0,0.000%,,
side
Dimension Shifter,3,3.0,0.000%,,
Numen erat Testudo,1,1.0,0.000%,,
Cosmic Cyclone,3,3.0,0.000%,,
Evenly Matched,3,3.0,0.000%,,
Dimensional Barrier,2,2.0,0.000%,,
Anti-Spell Fragrance,3,3.0,0.000%,,
